"Program","Year","Period","State","State ANSI","Strawberries","type","items","units","Domain","Domain Category","Value","CV (%)"
"CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)",231304956,"13.7"
"CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)",1446458,"13.5"
"CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)",211553703,"13.5"
"CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)",1221571,"12.9"
"CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)",19751253,"19.7"
"CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)",224886,"21"
"SURVEY",2016,"MARKETING YEAR","CALIFORNIA",6,"STRAWBERRIES - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED",105,NA
"SURVEY",2016,"MARKETING YEAR","CALIFORNIA",6,"STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED",123,NA
"SURVEY",2016,"MARKETING YEAR","CALIFORNIA",6,"STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED",45.9,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",2300,NA
